STT,Objective,Feature,Use case,Note,ADR Reference,Deadline,Status,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Phase
8,i18n,[System] Backend i18n — Locale Files,"Backend multi-language: locale files per language, API responses, error messages.","- Accept-Language header + user preference
- Locale files: Vietnamese, English, Filipino/Tagalog, Indonesian (Phase 3)
- Error messages đa ngôn ngữ
- Notification templates đa ngôn ngữ
- Fallback chain: manual choice → market default → English
- Audit + hoàn thiện 17 locale dirs hiện có",ADR-003,D+20,,0,4,40,0,8,0,4,8,64,1
9,,[System] Frontend i18n — Translation Framework,"Frontend i18n library integration. Locale loading, number/currency formatting.","- react-intl hoặc tương đương (phù hợp UmiJS stack)
- Locale files loaded async (code splitting per language)
- Toàn bộ UI labels, buttons, system messages
- Number/currency format per locale: ₱1,000 vs 1.000₫ vs $1,000
- Date format per locale
- T&C, KV content theo language setting",ADR-003,D+25,,0,4,8,40,8,0,4,8,72,1
10,,[System] Multilingual Content CMS,"Admin nhập content (T&C, campaign desc, notifications) per language. Preview + validation.","- Content editor có tab/switch per language
- Data model: { language_code: content_body } per content item
- Preview per ngôn ngữ trước publish
- Validation: bắt buộc ít nhất 1 ngôn ngữ (local hoặc EN)
- Warning nếu content thiếu bản dịch cho ngôn ngữ nào đó
- Legal content (T&C): bắt buộc manual nhập (không AI translate)",ADR-003,D+25,,0,4,24,24,8,0,4,8,72,1
,,,,,,,,,,,,,,,,
,MULTI-CURRENCY & TAX,,,,ADR-004,,,,,,,,,,,,
11,Currency & Tax,[System] Realtime Exchange Rate Service,"Lấy tỷ giá tham chiếu realtime từ bank authority/financial API. Cache Redis.","- API lấy realtime rate per country (bank authority / financial API)
- Cache Redis với TTL configurable (default 15 min per country)
- Fallback: nếu API fail → dùng rate gần nhất + hiển thị timestamp
- Rate history lưu lại (lịch sử tỷ giá theo ngày)
- Rate refresh interval configurable per country
- Label rõ: ""Tỷ giá tham chiếu — không dùng cho thanh toán""",ADR-004,D+25,,0,4,32,0,8,0,4,8,56,1
12,,[System] Reconciliation Rate (Chốt Rate),"Chốt tỷ giá khi đối soát. Immutable. Dùng cho payment + official reporting.","- Khi tạo reconciliation batch → suggest current rate
- Admin chọn: accept rate hoặc nhập manual (bắt buộc reason)
- Confirm → rate chốt (snapshot), gắn vào batch
- IMMUTABLE sau confirm (sai → tạo adjustment batch)
- Tất cả payment trong batch dùng cùng 1 chốt rate
- Audit log: ai chốt, lúc nào, rate, source",ADR-004,D+35,,0,4,24,8,8,0,4,8,56,2
13,,[System] Multi-Currency Display Service,"Currency config per country. Hiển thị local + USD reference. Format per locale.","- Currency config per country (from Country Config)
- Display rules: Creator/Local = local primary + USD ref, Global = USD primary
- UI phân biệt: realtime (≈ màu xám) vs chốt (text đen)
- Number formatting per locale
- Currency symbol position: ₱100 vs 100₫",ADR-004,D+20,,0,2,8,16,4,0,2,4,36,1
14,,[System] Display Currency Preference,"User chọn currency hiển thị (display currency) độc lập với country currency và ngôn ngữ. Thanh toán vẫn bằng local currency.","- Display currency preference lưu trong user profile (currency_pref field)
- Mặc định: country currency (VN=VND, PH=PHP)
- Chọn được: local currency, USD, hoặc currencies khác trong supported list
- Convert API: GET /api/exchange-rate/convert?from=PHP&to=USD&amount=50000
- Tất cả earnings/balance UI hiển thị theo display currency + local currency nhỏ bên cạnh
- VD: Creator PH chọn USD → ""$890 (₱50,000)"" thay vì ""₱50,000 (≈$890)""
- Thanh toán (payout) LUÔN bằng local currency — display currency chỉ ảnh hưởng hiển thị
- Preference độc lập với language preference (có thể dùng Filipino + xem USD)
- Convert dùng realtime reference rate (label rõ: tỷ giá tham chiếu)
- Chốt rate khi đối soát KHÔNG bị ảnh hưởng bởi display preference",ADR-004,D+25,,0,2,16,8,4,0,2,4,36,1
15,,[System] Tax Calculation Engine,"Tax rules configurable per country. Net income = Gross - Income Tax.","- Tax rules per country: rate, bands, withholding rules
- VN: thuế TNCN
- PH: withholding tax
- KHÔNG tính exchange fee vào net income
- Transparent breakdown: Gross → Tax → Net
- Updatable by Global Admin (audit log)
- Annual tax summary generation per creator",ADR-004,D+25,,0,4,32,0,8,0,4,8,56,1
,,,,,,,,,,,,,,,,
,INFRASTRUCTURE,,,,ADR-001 + ADR-005,,,,,,,,,,,,
16,Infrastructure,[Infra] Feature Flag System per Country,"Feature flags bật/tắt per country. Backend + frontend check.","- Tích hợp vào Country Config (ADR-005)
- Flag CRUD (Global Admin only)
- Scope: global, per-country
- Backend: isFeatureEnabled(name, country_code) → bool
- Frontend: flags fetched via API → conditional rendering
- States: enabled, disabled, percentage rollout
- Audit log cho flag changes",ADR-005,D+15,,2,4,24,8,4,0,2,4,48,1
17,,[Infra] Monitoring & Observability per Country,"Country-level metrics, alerting, Elastic APM expansion.","- Country-level metrics (requests, errors, latency per country)
- Elastic APM expansion cho multi-country tagging
- Alerting per country (threshold configurable)
- Dashboard per country health
- Data isolation violation alert",ADR-001,D+35,,8,4,16,0,4,0,2,4,38,2
18,,[Infra] Secrets Management per Country,"OAuth credentials, API keys, payment gateway secrets per country.","- Secrets store: encrypted config per country
- OAuth credentials (shared — per ADR-002)
- Payment gateway API keys per country
- Exchange rate API keys per country
- Rotation policy",ADR-001,D+15,,4,4,16,0,4,0,2,4,34,1
,,,,,,,,,,,,,,,,
