DEPENDENCY CHAIN — VCreator Global Platform,,,,,,,
"Tổng quan: Biểu đồ dependency + timeline giữa các module. 1 team, 1 project.",,,,,,,
,,,,,,,
TECH STACK & TEAM,,,,,,,
,,,,,,,
Stack,"Go/Echo (BE) + React/UmiJS (FE) + MongoDB + Redis + MinIO",,,,,,
,,,,,,,
Role,Headcount,Type,Capacity/tháng,Total Hours,Cần cho D+85 (4.25 tháng),Đủ?,
Core Features,ADMIN — Global Admin Config,D+25~D+35,"Admin RBAC, Country Config","Country Config CRUD, Feature Flags UI, Admin User Mgmt, Audit Log, Tax Rules. Cần RBAC + Country Config Service.",384,1,
Core Features,CREATOR — Auth & Onboarding,D+25~D+30,User Identity + i18n,"OAuth Login, Country Selection, Country Switcher, Language Switcher, Referral. Cần Shared User Identity + i18n framework.",356,1,
Core Features,CREATOR — Landing & Profile,D+30,i18n + URL Routing,"Landing Page, Public Campaign Preview, Profile Management, Social Linking. Cần i18n + URL country routing.",232,1,
Core Features,ADMIN — Campaign Management,D+30~D+35,"Admin RBAC, i18n, Currency","Create Campaign, Approval Workflow, Reward Structure, Budget Mgmt, Analytics. Cần RBAC + i18n + Currency display.",384,1,
,,,,,,,
,,,,,,,
Feature Pipeline,CREATOR — Campaign & Discovery,D+30~D+35,Creator Auth + Admin Campaign,"Campaign List, Detail, Join, My Campaigns, Content Requirements. Cần Creator có account + Admin đã tạo campaigns.",228,1,
Feature Pipeline,CREATOR — KYC,D+35,Country Config + Creator Auth,"KYC Checklist, Gov ID, Bank, Tax ID, Contract, Status. Cần Country Config (KYC requirements) + Creator account.",396,1,
Feature Pipeline,CREATOR — Content Creation,D+35,Creator Campaign + Admin Content Mod,"Submit Content, Status Tracking, My Content. Cần Creator join campaign + Admin có content moderation pipeline.",180,1,
Feature Pipeline,ADMIN — Content Moderation,D+35~D+40,Creator Content Submit,"Moderation Queue, Preview, Approve/Reject, Bulk Actions. Cần Creator đã submit content để moderate.",366,1,
Feature Pipeline,ADMIN — KYC Review,D+35,Creator KYC,"KYC Queue, Document Review, Approve/Reject. Cần Creator đã submit KYC documents.",174,1,
Feature Pipeline,ADMIN — Creator Management,D+30~D+45,Creator Auth + Admin RBAC,"Creator List, Detail, Ban/Suspend, Notifications. Cần Creator data + Admin RBAC.",196,1,
Feature Pipeline,ADMIN — CMS & Partners,D+35,i18n + Admin RBAC,"T&C, Notification Templates, Partner Config, Export Reports. Cần i18n + Admin permissions.",180,1,
,,,,,,,
,,,,,,,
Finance Pipeline,CREATOR — Earnings,D+40~D+45,Currency + Tax Engine + Content pipeline,"Earnings Dashboard, Per Campaign/Content, Net Income, Tax Breakdown. Cần Currency Display + Tax Engine + content approved.",296,1,
Finance Pipeline,ADMIN — Reconciliation,D+40,"Currency + Tax + Creator Earnings, Reconciliation Rate","Create Batch, Exchange Rate Lock, Detail Review, Approve, History. Cần Currency service + Tax + Creator có earnings.",304,1,
Finance Pipeline,ADMIN — Payment,D+45,Reconciliation approved,"Payment Queue, Execute, Status Tracking, Failed Handling, History. Cần Reconciliation batch approved trước.",332,1,
Finance Pipeline,CREATOR — Payout,D+45,Admin Payment + Creator Earnings,"Available Balance, Withdrawal Request, Status. Cần Admin Payment pipeline + Creator earnings confirmed.",184,1,
Finance Pipeline,ADMIN — Financial Reporting,D+40~D+55,Reconciliation + Payment,"Revenue Dashboard, Tax Summary, Rate History, Trends. Cần Reconciliation + Payment data.",252,1,
Finance Pipeline,ADMIN — Global Dashboard,D+40~D+55,All Admin features,"Cross-Country Dashboard, Revenue, Acting-as-Local, Comparison, Reports. Cần tất cả Admin core features.",596,1+2,
,,,,,,,
,,,,,,,
Enhancement,CREATOR — Phase 2,D+45~D+55,Creator Phase 1 stable,"Facebook Login, Deferred KYC, Leaderboard, E-Wallet, Receipt, Referral, Chart, Email, Notification Prefs, Account Deletion.",528,2,
Enhancement,ADMIN — Phase 2,D+45~D+55,Admin Phase 1 stable,"Activity Dashboard, Auto-Reject, Violation, Notifications, Clone, Partner Analytics, Mod Stats, Templates, Bulk Import, etc.",902,2,
,,,,,,,
,,,,,,,
Brand Portal,BRAND — Auth & Onboarding,D+50~D+55,Admin RBAC + Campaign model,"Brand Login, RBAC (3 roles), Onboarding Wizard, Market Selection, Profile. Cần Admin RBAC system + Campaign model ready.",320,2A,
Brand Portal,BRAND — Campaign Management,D+55~D+60,Brand Auth + Admin Campaign pipeline,"Campaign Builder, Reward, Budget, Approval (→ Admin review), Scheduling, Requirements, Hashtag. Cần Admin Campaign workflow.",432,2A,
Brand Portal,BRAND — Content Monitoring,D+60,Brand Campaign + Creator Content + Admin Moderation,"Creators List, Content Feed, Preview, Status Tracking. Cần Creator submit + Admin moderate content.",216,2A,
Brand Portal,BRAND — Analytics & Finance,D+60~D+65,Brand Campaign + Admin Reconciliation,"Dashboard, Campaign Analytics, Budget Overview, Cost Summary. Cần Campaign data + financial data.",268,2A,
Brand Portal Phase 2B,BRAND — Enhancement,D+65~D+75,Brand Portal Core stable,"KYB, Campaign Clone, Brand Content Review, Creator Ranking, Content Analytics, ROI, Cross-Country, Export, Invoice, Custom Domain, Notification Prefs.",568,2B,
Brand Portal Phase 3,BRAND — API & Webhook,D+85,Brand Portal Enhancement stable,"API & Webhook Configuration. Cần Brand Portal hoàn chỉnh trước khi mở API cho external integration.",94,3,
,,,,,,,
,,,,,,,

TIMELINE TABLE,,,,,,,
,,,,,,,
D+x,Module,Scope,Status,Hours,Cumulative Hours,,
D+10,Platform Core — Multi-Tenancy,"Country Config, Middleware, URL Routing",Start foundation,254,254,,
D+15,"Platform Core — User Identity, Feature Flags, Secrets","Shared User Model, Profile CRUD, Flags, Secrets",Foundation continues,324,578,,
D+20,"Platform Core — i18n, Currency + Admin Auth/RBAC","i18n framework, Currency Display, Tax Engine + Admin Auth, RBAC, Team, Data Isolation",Foundation + Admin infra start,1002,1580,,
D+25,"Creator Auth + Admin Global Config + Platform Core completes","OAuth Login, Country Selection + Country Config CRUD, Feature Flags UI, Admin Users + i18n/CMS complete",Creator starts,948,2528,,
D+30,"Creator Landing/Campaign/Profile + Admin Campaign","Creator: Landing, Campaign List/Detail/Join, Profile + Admin: Create Campaign, Approval, Reward",Core features ramp up,844,3372,,
D+35,"Creator KYC/Content + Admin Moderation/KYC Review + Platform Enhancement","Creator: KYC flow, Content Submit + Admin: Content Mod, KYC Review, CMS + Platform: Monitoring, Recon Rate",Feature pipeline active,1490,4862,,
D+40,"Creator Earnings + Admin Reconciliation/Dashboard","Creator: Earnings Dashboard + Admin: Reconciliation, Revenue Dashboard, Global Dashboard",Finance pipeline starts,900,5762,,
D+45,"Creator Payout + Admin Payment + Enhancement starts","Creator: Balance, Withdrawal + Admin: Payment Queue/Execute + Creator/Admin Phase 2 starts",Finance pipeline + Phase 2,1282,7044,,
D+50,"Brand Portal starts + Enhancement continues","Brand: Auth, RBAC, Onboarding, Profile + Creator/Admin Phase 2 continues",Brand Portal begins,538,7582,,
D+55,"Brand Campaign + Enhancement continues","Brand: Campaign Builder, Reward, Budget, Scheduling + Phase 2 continues",Brand Campaign Mgmt,450,8032,,
D+60,"Brand Content Monitoring + Analytics","Brand: Content Feed, Preview, Dashboard, Campaign Analytics",Brand core features,484,8516,,
D+65,Brand Finance + Phase 2B starts,"Brand: Budget Overview, Cost Summary + KYB, Campaign Clone starts",Brand core completes,336,8852,,
D+70,Brand Enhancement continues,"Brand Content Review, Creator Ranking, Content Analytics",Phase 2B continues,232,9084,,
D+75,Brand Enhancement completes,"ROI, Cross-Country, Export, Invoice, Custom Domain, Notification Prefs",Phase 2B wraps up,264,9348,,
D+85,Brand API & Webhook,API keys + Webhook Configuration,Phase 3 — final feature,94,9442,,
,,,,,,,
,,,,,,,

CRITICAL PATH,,,,,,,
,,,,,,,
Step,Dependency,Deadline,,,,,
1. Multi-Tenancy Core,— (start),D+10,,,,,
2. User Identity,→ Multi-Tenancy,D+15,,,,,
3. Creator Auth + Admin RBAC,→ User Identity,D+20~D+25,,,,,
4. Admin Campaign + Creator Campaign,→ Creator Auth + Admin RBAC,D+30~D+35,,,,,
5. Creator Content + Admin Moderation,→ Admin Campaign,D+35~D+40,,,,,
6. Creator Earnings + Admin Reconciliation,→ Content pipeline + Currency/Tax,D+40~D+45,,,,,
7. Creator Payout + Admin Payment,→ Reconciliation,D+45,,,,,
8. Brand Portal Core,→ Admin Campaign + Content pipeline,D+50~D+65,,,,,
9. Brand Portal Enhancement,→ Brand Core stable,D+65~D+75,,,,,
10. Brand API & Webhook,→ Brand Enhancement stable,D+85,,,,,
,,,,,,,
,,,,,,,

PARALLEL TRACKS (team allocation per giai đoạn),,,,,,,
,,,,,,,
Track (Headcount),Giai đoạn D+20~D+25,Giai đoạn D+30~D+35,Giai đoạn D+40~D+45,Giai đoạn D+50~D+65,,,
BE ×2,"BE1: Platform i18n + Currency/Tax | BE2: Admin Auth/RBAC","BE1: Creator Campaign + KYC APIs | BE2: Admin Campaign + Content Mod","BE1: Creator Earnings + Payout | BE2: Admin Reconciliation + Payment","BE1: Brand Campaign + Content | BE2: Brand Analytics + Finance",,,
FE ×2,"FE1: Platform i18n framework + Currency Display | FE2: Admin Auth/RBAC UI","FE1: Creator Landing + Campaign UI | FE2: Admin Campaign + KYC UI","FE1: Creator Earnings + Payout UI | FE2: Admin Recon/Payment UI","FE1: Brand Auth + Campaign UI | FE2: Brand Content + Analytics UI",,,
QC ×1,Platform Core testing + Admin Data Isolation,"Creator Auth/Campaign + Admin Moderation testing","Finance pipeline E2E + Creator Payout testing","Brand Portal E2E + Brand Data Isolation",,,
SA ×0.5 + BA ×0.5,Creator KYC spec + Admin workflows,"Earnings/Payout spec + Reconciliation flow","Brand Portal spec + Brand Campaign workflow","Brand Enhancement + API spec",,,
PM ×1 + DevOps ×0.5 + Design ×0.5,Project setup + CI/CD + UI design system,Sprint management + Monitoring + Creator UI design,Brand Portal planning + Infra scaling,Brand Portal coordination + API docs,,,
,,,,,,,
,,,,,,,

GHI CHÚ,,,,,,,
,"1. Team: BE×2 + FE×2 + QC×1 + PM×1 + SA×0.5 + BA×0.5 + DevOps×0.5 + Design×0.5 = 8 người (1,280h/tháng).",,,,,,,
,"2. D+85 = 85 working days ≈ 4.25 tháng calendar. D+x thể hiện THỨ TỰ dependency — không phải calendar schedule.",,,,,,,
,"3. Với team 8 người (BE×2): timeline thực tế ≈ D+175 (8.8 tháng). Giữ D+85 cần ~14 người (BE×4 + FE×4).",,,,,,,
,"4. Critical path: Multi-Tenancy → User Identity → Creator/Admin Core → Content Pipeline → Finance → Brand Portal.",,,,,,,
,"5. Platform Core (D+10~D+25) là bottleneck lớn nhất — mọi module đều depend vào foundation này.",,,,,,,
,"6. Creator + Admin overlap từ D+20 (Admin Auth/RBAC) nhưng feature pipeline thực sự bắt đầu D+30 khi foundation đủ.",,,,,,,
,"7. Brand Portal bắt đầu D+50 — KHÔNG THỂ sớm hơn vì cần Admin Campaign + Content Moderation pipeline stable.",,,,,,,
,"8. Phase 2 (Enhancement) có thể delay nếu Phase 1 gặp issues — buffer ~5 ngày giữa D+45 Core complete và D+50 Brand start.",,,,,,,
,"9. Cumulative hours (9,442h) > Grand Total (8,108h) vì có overlap giữa các module trong cùng giai đoạn.",,,,,,,
,"10. Tech Stack: Go/Echo + React/UmiJS + MongoDB + Redis + MinIO (Enhanced Monolith).",,,,,,,
