STT,Objective,Feature,Use case,Note,ADR Reference,Deadline,Status,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Phase
42,,[Admin] Partner Analytics,"Analytics per partner: creators, campaigns, revenue scoped by partner.","- Dashboard per partner
- Metrics: creators, campaigns, content, revenue
- Compare partners within country",,D+50,,0,2,16,20,4,0,2,4,48,2
,,,,,,,,,,,,,,,,
43,Team Management,[Admin] Invite/Add Staff,"Invite admin staff vào local team. Assign role (ops, finance).","- Invite by email
- Assign role: local_ops, local_finance
- Invitation link with expiry
- Welcome email with getting started guide
- Max staff per role configurable",ADR-002,D+25,,0,4,24,20,8,0,4,4,64,1
44,,[Admin] Manage Team & Activity,Remove/deactivate staff. View team activity log.,"- Staff list: name, role, status, last active
- Deactivate: revoke access immediately
- Remove: delete account
- Activity log per staff member
- Audit: who changed roles, when",ADR-002,D+25,,0,2,16,16,4,0,2,4,44,1
,,,,,,,,,,,,,,,,
45,Country Dashboard,[Admin] Country Overview Dashboard,"Overview KPIs: creators, campaigns, content, revenue. Charts.","- KPIs: total creators, active campaigns, content this month, revenue
- Charts: creator growth, content volume, revenue trend
- Comparison: this month vs last month
- Quick links to key actions per role",,D+40,,0,4,24,32,8,4,4,4,80,1
46,,[Admin] Content Moderation Stats,"Thống kê moderation: approval rate, avg review time, queue size.","- Approval rate (%)
- Average review time
- Queue size trend
- Ops performance (nếu nhiều Ops)",,D+50,,0,2,16,20,4,0,2,4,48,2
,,,,,,,,,,,,,,,,
47,CMS,[Admin] Content Management — T&C & Guides,"Quản lý CMS content: T&C, articles, guides, FAQ — đa ngôn ngữ.","- Content types: T&C, articles, guides, FAQ, announcements
- Multilingual editor (tab per language)
- Rich text editor (WYSIWYG)
- Preview before publish
- Versioning: save history, rollback
- T&C: bắt buộc manual nhập (không AI translate)",ADR-003,D+35,,0,4,24,28,8,0,4,4,72,1
48,,[Admin] Notification Templates,"Quản lý notification templates đa ngôn ngữ: campaign, payment, KYC notifications.","- Template per notification type per language
- Variables: {creator_name}, {campaign_name}, {amount}, etc.
- Preview with sample data
- Test send",,D+50,,0,2,16,16,4,0,2,4,44,2
,,,,,,,,,,,,,,,,
49,Data Operations,[Admin] Bulk Import Creators,Import creators từ CSV. Auto-create accounts nếu chưa có.,"- Upload CSV file
- Validation: required fields, format check
- Preview: show errors before import
- Auto-create user identity + country profile
- Report: success/failed count, error details",,D+55,,0,4,24,16,8,0,4,4,60,2
50,,[Admin] Export All Reports,"Export creators, campaigns, content, earnings to Excel/CSV.","- Export types: creators, campaigns, content, earnings, reconciliation
- Format: Excel, CSV
- Filters: date range, status, campaign
- Async export cho data lớn (email link khi done)",,D+35,,0,2,16,12,4,0,2,4,40,1
51,,[Admin] Local Admin Data Isolation,Local Admin KHÔNG xem được data country khác.,"- Same middleware as Ops (ADR-001)
- Country selector: chỉ hiển thị country mình
- Tất cả API responses scoped by country
- Integration test: verify isolation
- This is NOT a separate feature — built into all Admin features above. Estimate = QC testing effort.",ADR-001,D+20,,0,0,0,0,16,0,2,0,18,1
,,,,,,,,,,,,,,,,
,GLOBAL ADMIN — Cross-Country Management,,,,,,,,,,,,,,,,
52,Global Dashboard,[Global] Cross-Country Dashboard,"Dashboard tổng hợp all countries. Revenue USD. Creators, campaigns per country.","- Summary cards: total revenue (USD), total creators, total campaigns
- Per country breakdown table
- Charts: revenue per country, creator growth per country
- Trend: this month vs last month
- Anomaly alerts: spike/drop per country",ADR-004,D+40,,0,8,32,36,12,4,4,8,104,1
53,,[Global] Revenue Confirmed vs Estimated,Revenue chia rõ: confirmed (chốt rate) vs estimated (realtime rate).,"- Confirmed: dựa trên reconciliation batches đã approve
- Estimated: dựa trên realtime rate × pending earnings
- Visual: confirmed = solid, estimated = dashed/grey
- Tooltip: giải thích sự khác biệt",ADR-004,D+40,,0,2,16,16,4,0,2,4,44,1
54,,[Global] Country Comparison Charts,"So sánh performance giữa các countries: revenue, creators, content.","- Bar/line charts: revenue, creators, content by country
- Time range: weekly, monthly, quarterly
- Metrics selector: choose what to compare
- Export charts",,D+50,,0,2,16,20,4,0,2,4,48,2
55,,[Global] Drill-Down per Country,Click country → xem chi tiết như Local Admin view.,"- Click country card → navigate to country detail
- View = Local Admin dashboard (read-only unless acting as local)
- Breadcrumb: Global > Country Name",,D+40,,0,2,8,12,4,0,2,2,30,1
,,,,,,,,,,,,,,,,
56,Acting as Local,[Global] Acting as Local — Enter Mode,Switch scope sang 1 country để thao tác. Bắt buộc reason. Visual indicator.,"- Select country → enter ""acting as local"" mode
- Bắt buộc nhập reason (text, min 10 chars)
- Visual indicator rõ: banner ""Acting as [Philippines]"" (red/orange)
- Session logged: start time, reason
- Inherit Local Admin permissions for that country",ADR-001,D+45,,0,8,32,24,12,4,4,8,92,1
57,,[Global] Acting as Local — Audit & Sensitive Data,Mọi action logged. Sensitive data (KYC/bank) cần additional confirmation.,"- ALL actions in acting-as-local → special audit category
- Sensitive data access (KYC, bank) → additional confirmation dialog
- Confirmation: ""Bạn đang xem KYC data của creator Philippines. Xác nhận?""
- Session summary: khi exit mode → show summary of all actions taken
- Local Admin có thể xem: ai đã act-as-local trong country mình",ADR-001,D+45,,0,4,24,16,8,0,4,4,60,1
58,,[Global] Acting as Local — Exit Mode,Thoát acting-as-local. Show session summary.,"- Exit button always visible khi đang in mode
- Session summary: duration, actions count, categories
- Auto-exit after configurable timeout (default 30 min)
- Log: exit time, total duration",,D+45,,0,2,8,8,4,0,2,2,26,1
,,,,,,,,,,,,,,,,
59,Country Configuration,[Global] Country Config CRUD,"CRUD country config: currency, languages, tax rules, KYC requirements, payment, social platforms.","- Form per country: all configurable fields
- Currency, languages[], tax_rules{}, kyc_requirements{}
- Payment gateway config per country
- Social platforms per country
- Feature flags per country → link to Feature Flags UI
- All changes → audit log",ADR-001 + ADR-005,D+25,,0,8,32,32,12,4,4,8,100,1
60,,[Global] Feature Flags Management,Bật/tắt tính năng per country. Percentage rollout. Audit log.,"- Flag list: name, status per country, description
- Toggle: enabled, disabled, percentage rollout
- Scope: global, per-country
- History: changes per flag
- Audit: who changed, when, from → to",ADR-005,D+25,,0,4,16,20,4,0,2,4,50,1
,,,,,,,,,,,,,,,,
61,User & Role Management,[Global] Admin User Management,Tạo Local Admin accounts per country. Assign/revoke roles.,"- Create admin: email, name, role, country
- Assign role: global_admin, local_admin, local_finance, local_ops
- 1 admin = 1 country (local roles)
- Deactivate/reactivate admin
- List all admins: filter by country, role, status
- All changes → audit log",ADR-002,D+25,,0,4,24,24,8,0,4,4,68,1
62,,[Global] Role Permission Matrix,Xem permission matrix: role × resource × action. Config nếu cần.,"- Matrix view: role vs resource (campaigns, content, KYC, payment, config)
- Actions: view, create, edit, delete, approve
- Read-only default (hardcoded roles) hoặc configurable
- Export matrix for compliance",,D+35,,0,2,8,16,4,0,2,2,34,1
,,,,,,,,,,,,,,,,
63,Audit System,[Global] Audit Log Viewer,"Xem audit log toàn hệ thống. Search, filter, paginated.","- Search: keyword, actor name
- Filter: country, role, action type, date range
- Special filter: ""acting as local"" sessions
- Pagination + infinite scroll
- Detail view: full context per audit entry",ADR-001,D+35,,0,4,24,28,8,0,4,4,72,1
64,,[Global] Acting-as-Local Session Viewer,"Xem riêng các session acting-as-local: ai, country nào, khi nào, làm gì.","- Session list: admin, country, start/end, reason, action count
- Drill-down: xem từng action trong session
- Export sessions
- Alert nếu session bất thường (quá dài, quá nhiều sensitive data access)",,D+50,,0,2,16,20,4,0,2,4,48,2
65,,[Global] Export Audit Logs,Export audit logs to CSV/Excel. Filter trước khi export.,"- Apply filters → export kết quả
- Formats: CSV, Excel
- Large exports: async + email link
- Audit retention: configurable (default 1 year)",,D+50,,0,2,8,8,4,0,2,2,26,1
,,,,,,,,,,,,,,,,
66,Global Communications,[Global] Notifications to Local Teams,Gửi notification cho Local Admin teams. Target by country/role. Scheduled.,"- Target: all teams, specific country, specific role
- Content: title + message (multilingual)
- Schedule: send now hoặc schedule
- History: sent, delivered, read status",,D+55,,0,2,16,16,4,0,2,4,44,2
,,,,,,,,,,,,,,,,
67,Global Reporting,[Global] Cross-Country Reports,"Revenue, creators, content comparison across countries. Export.","- Report types: revenue, creators, campaigns, content, payouts
- Comparison: country vs country
- Time range: monthly, quarterly, yearly
- Export: Excel, PDF
- Scheduled reports (email digest)",,D+50,,0,4,24,24,8,0,4,4,68,1
68,,[Global] Tax Rules Management,Quản lý tax rules per country. Update rates. Audit log.,"- Tax rules per country: rate, bands, withholding type
- CRUD: create/update rules (Global Admin only)
- Effective date: new rules apply from specific date
- History: all changes logged
- Impact preview: simulate tax change impact",ADR-004,D+35,,0,4,24,16,8,0,4,4,60,1
69,,[Global] System Health Dashboard,"System health: API latency, errors, per country metrics.","- API latency per country (avg, p95, p99)
- Error rate per country
- Active users (admin + creators)
- Infrastructure: CPU, memory, DB connections
- Alerting: threshold-based per metric",,D+55,,4,4,16,24,4,0,2,4,58,2
,,,,,,,,,,,,,,,,
,Xem tổng hợp tại: VCreator-Global-Summary-BaoGia.csv,,,,,,,,,,,,,,,,
