STT,Objective,Feature,Use case,Note,Deadline,Status,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Phase
11,Verification (eKYC),[Creator] KYC Checklist & Flow,"Hiển thị yêu cầu KYC per country trước khi bắt đầu. Step-by-step, lưu progress.","- Checklist per country (configurable)
- VN: CCCD + MST + Bank + Hợp đồng
- PH: Gov ID + TIN + Bank + Contract
- Estimated time hiển thị
- Progress bar, cho phép quay lại sau",D+35,,0,8,40,32,16,4,8,16,124,1
12,,[Creator] Government ID Upload,Upload giấy tờ tùy thân theo quốc gia. Encrypted storage.,"- Danh sách accepted ID types per country (configurable)
- VN: CCCD/CMND
- PH: Passport, Driver's License, PhilID, SSS ID
- Upload ảnh/scan + validate (ảnh rõ, đúng format)
- Encrypted storage (MinIO + AES-256)",D+35,,0,4,24,20,8,0,4,8,68,1
13,,[Creator] Bank Account per Country,Thêm tài khoản ngân hàng/e-wallet. Bank list + validation per country.,"- Bank list per country (configurable)
- PH: GCash, BDO, BPI, UnionBank...
- VN: Vietcombank, BIDV, Techcombank...
- Validation format per bank per country
- Sensitive data encrypted at rest",D+35,,0,4,24,20,8,0,4,8,68,1
14,,[Creator] Tax ID per Country,Nhập tax ID (MST/TIN) theo format quốc gia. Inline validation.,"- Tax ID label + format per country
- VN: ""Mã số thuế"" — 10/13 chữ số
- PH: ""TIN"" — XXX-XXX-XXX-XXX
- Validation inline + uniqueness check
- Encrypted storage",D+35,,0,2,16,12,4,0,2,4,40,1
15,,[Creator] Electronic Contract,Ký hợp đồng điện tử đa ngôn ngữ. Preview trước khi ký.,"- T&C / Contract per country per language
- Preview trước khi ký
- Lưu bản ký + timestamp + IP
- Download PDF sau khi ký",D+35,,0,2,16,16,4,0,4,4,46,1
16,,[Creator] KYC Status Tracking,"Trạng thái KYC rõ ràng: chờ, duyệt, từ chối (kèm lý do). Notification khi thay đổi.","- Status: pending → under_review → approved/rejected
- Push notification khi status thay đổi
- Reject: hiển thị lý do + cho re-submit
- Chỉ re-upload phần bị reject (không reset toàn bộ)
- Max re-submit configurable",D+35,,0,2,16,16,8,0,4,4,50,1
17,,[Creator] Deferred KYC,Cho Creator browse/join campaign trước. KYC khi muốn rút tiền.,"- Browse + join campaign OK mà chưa KYC
- Prompt KYC khi đủ điều kiện rút tiền
- Hoặc Creator tự KYC sớm từ settings
- Refactor flow hiện tại (VN bắt eKYC sớm)",D+45,,0,4,24,16,8,0,4,8,64,2
,,,,,,,,,,,,,,,,
18,Campaign & Discovery,[Creator] Campaign List,Danh sách campaigns đang chạy ở quốc gia Creator. Sort/filter/pagination.,"- Scoped by country_code
- Sort: newest, popular, ending soon
- Filter: category, brand, reward range
- Pagination / infinite scroll
- Content đa ngôn ngữ",D+30,,0,2,16,24,8,0,2,4,56,1
19,,[Creator] Campaign Detail,"Chi tiết campaign: brand, mô tả, reward, rules, deadline — đa ngôn ngữ.","- Sections: brand info, reward structure, rules, deadline, content format
- Reward bằng tiền tệ local (₱, ₫)
- USD tham chiếu (nhỏ, tooltip)
- Content đa ngôn ngữ (local + EN)
- Content requirements checklist",D+30,,0,2,16,24,8,0,2,4,56,1
20,,[Creator] Join Campaign,Tham gia campaign bằng 1 click. Auto-assign hashtag cá nhân.,"- Nút ""Tham gia"" + confirm T&C
- Auto-assign hashtag per creator per campaign per country
- Notification: ""Bạn đã tham gia thành công""
- Hashtag hiển thị rõ + copy-to-clipboard",D+30,,0,2,16,12,4,0,2,4,40,1
21,,[Creator] My Campaigns,Danh sách campaigns đã tham gia (active + completed). Earnings per campaign.,"- Tabs: Active / Completed
- Per campaign: status, earnings so far, deadline, content count
- Badge ""Sắp hết hạn"" (< 3 ngày)
- Click → xem chi tiết content đã submit",D+30,,0,2,16,20,8,0,2,4,52,1
22,,[Creator] Campaign Leaderboard,Xếp hạng Creator trong campaign. Ranking by views/engagement.,"- Leaderboard per campaign
- Ranking by: views, engagement, content count
- Hiển thị vị trí của tôi (highlighted)
- Scoped by country",D+50,,0,2,16,16,4,0,2,4,44,2
,,,,,,,,,,,,,,,,
23,Content Creation,[Creator] Submit Content Link,Submit link content (TikTok/FB/IG/Threads). Validate URL + hashtag + platform.,"- Input: paste URL social media post
- Validate: URL đúng platform + public + chứa hashtag
- Auto-detect platform type từ URL
- Chỉ accept platforms enabled cho country
- Multiple submissions per campaign (nếu config cho phép)",D+35,,0,4,32,20,12,0,4,8,80,1
24,,[Creator] Content Status Tracking,"Trạng thái content: chờ duyệt, duyệt, từ chối (lý do + re-submit).","- Status: submitted → under_review → approved/rejected
- Notification khi status thay đổi
- Reject: lý do cụ thể + cho re-submit
- Re-submit: update link hoặc replace
- Giới hạn re-submit configurable",D+35,,0,2,16,16,8,0,2,4,48,1
25,,[Creator] My Content,Tất cả content đã submit across campaigns. Filter + metrics.,"- Filter by: campaign, status, platform, date
- Per content: thumbnail/link, campaign name, status, earnings
- Performance metrics: views, likes (nếu API cho phép)
- ""Top performing"" badge",D+35,,0,2,16,20,8,0,2,4,52,1
26,,[Creator] Content Requirements,"Hiển thị requirements rõ ràng trước khi tạo content: format, duration, hashtag.","- Requirements checklist per campaign
- VD: ""Video 15-60s, TikTok, include #brand + #personal_hashtag""
- Sample content (optional)
- Đa ngôn ngữ",D+30,,0,0,4,12,4,0,2,2,24,1
,,,,,,,,,,,,,,,,
27,Earnings & Tracking,[Creator] Earnings Dashboard,Dashboard tổng thu nhập (gross) bằng tiền tệ local. Period filter.,"- ""Tổng thu nhập: ₱125,000"" (local currency primary)
- Period: tháng này, tháng trước, all-time
- USD tham chiếu bên cạnh (nhỏ, label rõ)
- Phân biệt: ""Đã xác nhận"" vs ""Đang chờ"" (color coding)",D+40,,0,4,32,32,12,4,4,8,96,1
28,,[Creator] Earnings per Campaign,Breakdown thu nhập theo campaign. Sort by earnings.,"- Per campaign: campaign name, gross earnings, content count, status
- Sort by earnings
- Click → xem chi tiết per content",D+40,,0,2,16,16,4,0,2,4,44,1
29,,[Creator] Earnings per Content,"Thu nhập per content: views, earnings, status (confirmed/pending).","- Per content: link, views, earnings, status
- ""Pending"" = chưa đối soát
- ""Confirmed"" = đã đối soát, sẵn sàng rút",D+40,,0,2,16,16,4,0,2,4,44,1
30,,[Creator] Net Income & Tax Breakdown,Hiển thị net income sau thuế. Tax breakdown rõ ràng per country.,"- Net = Gross - Income Tax
- Breakdown: Gross → Tax rate → Tax amount → Net
- Tax rate theo country rules
- KHÔNG tính exchange fee
- Annual tax summary export (cho Creator khai thuế)",D+45,,0,4,24,20,8,0,4,8,68,1
31,,[Creator] Referral Earnings,"Dashboard referral: số người mời, earnings từ referral.","- Total invitees, active invitees
- Total referral earnings
- Per invitee: status, earnings attributed
- Referral link share UI: copy link, share to social",D+50,,0,2,16,16,4,0,2,4,44,2
32,,[Creator] Earnings Chart,Biểu đồ thu nhập theo thời gian (ngày/tuần/tháng).,"- Line chart: earnings over time
- Granularity: daily, weekly, monthly
- Compare periods: tháng này vs tháng trước",D+50,,0,2,16,20,4,0,2,4,48,2
,,,,,,,,,,,,,,,,
33,Payout,[Creator] Available Balance,Số dư khả dụng tách biệt khỏi pending. Minimum withdrawal per country.,"- ""Số dư khả dụng: ₱85,000"" (confirmed + qua lock period)
- ""Đang chờ: ₱15,000""
- Minimum withdrawal amount per country
- Payment schedule visible (""Đợt tiếp theo: 15/03"")",D+45,,0,4,24,16,8,0,4,8,64,1
34,,[Creator] Withdrawal Request,Rút tiền về bank/GCash. Nhập số tiền + review + OTP confirm.,"- Chọn bank account (từ KYC)
- Nhập số tiền (validate: min/max per country)
- Review: số tiền, bank, estimated time
- OTP verification (SMS/email)
- OTP expiry: 5 phút, max retry: 3",D+45,,0,4,24,20,12,0,4,8,72,1
35,,[Creator] Withdrawal Status & History,Trạng thái rút tiền + lịch sử đầy đủ.,"- Status: pending → processing → completed/failed
- Estimated processing time per country
- Notification khi status thay đổi
- Failed: lý do + refund to balance
- History: date, amount, bank, status, reference",D+45,,0,2,16,16,8,0,2,4,48,1
36,,[Creator] E-Wallet Payment (PH),Philippines: GCash e-wallet ngoài bank transfer.,"- PH: GCash + bank transfer options
- Payment methods configurable per country
- VN: bank transfer (giữ nguyên)",D+55,,2,4,24,16,8,0,4,8,66,2
37,,[Creator] Payment Receipt,Biên lai/receipt sau khi rút tiền thành công. Download PDF.,"- Digital receipt per withdrawal
- Info: amount, tax withheld, net, bank, date, reference
- Download PDF
- Annual summary export",D+55,,0,2,16,12,4,0,2,4,40,2
,,,,,,,,,,,,,,,,
38,Profile & Settings,[Creator] Profile Management,"Quản lý profile: avatar, tên, bio, social links.","- Profile edit page
- Upload avatar
- Cập nhật thông tin cá nhân
- Quản lý social accounts (link/unlink)
- Per country: KYC, bank info editable (cần re-verify)",D+30,,0,2,16,20,8,0,2,4,52,1
39,,[Creator] Social Account Linking,"Liên kết TikTok, Facebook, Instagram, Threads, YouTube.","- UI liên kết từng platform
- Social links shared across countries hoặc per country
- Validate: account hoạt động
- Unlink/relink khi cần",D+30,,0,4,24,20,8,0,4,8,68,1
40,,[Creator] Notification Preferences,"Bật/tắt từng loại notification. Per channel: in-app, email.","- Settings: campaign, payment, referral notifications
- Per channel: in-app, email
- Granular control",D+50,,0,2,8,16,4,0,2,4,36,2
41,,[Creator] Account Deletion,Xóa tài khoản. Grace period + settle earnings + data anonymization.,"- Account deletion request
- Grace period (30 ngày)
- Settle all pending earnings trước khi xóa
- Data anonymization (per privacy law)
- Confirmation flow",D+55,,0,4,24,12,8,0,4,8,60,2
,,,,,,,,,,,,,,,,
42,Notifications,[Creator] Push Notifications,"Notification system: campaign mới, content status, payment, KYC.","- Campaign mới phù hợp
- Content approved/rejected
- Payment processed/confirmed
- KYC status change
- Bằng ngôn ngữ Creator chọn",D+35,,2,4,32,16,8,0,4,8,74,1
43,,[Creator] Email Notifications,Email digest (weekly/monthly) + transactional emails.,"- Welcome email
- Earnings confirmed
- Payment processed
- Campaign deadline reminder
- Configurable frequency",D+45,,2,2,16,4,4,0,2,4,34,2
,,,,,,,,,,,,,,,,
,NOTE: Phần Platform Core ([System] + [Infra]) đã tách sang file riêng:,,,,,,,,,,,,,,,,
,"→ VCreator-Global-PlatformCore-BaoGia.csv (Multi-Tenancy, i18n, Currency, Tax, Migration, Feature Flags, Monitoring)",,,,,,,,,,,,,,,,
,→ ADR chi tiết: adr-platform-core.md (ADR-001 ~ ADR-005),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Xem tổng hợp tại: VCreator-Global-Summary-BaoGia.csv,,,,,,,,,,,,,,,,
