4,Tích hợp profile crawler cho ambassador,Đưa chức năng onboard profile từ T-Fluencers sang Ambassador,"- Tận dụng tối đa hiệu quả hoạt động crawler
- Tạo tiền đề cho phát triển module booking ở tháng 7",Đang soạn thảo,In progress,24/6,40,24,12,8,84,VCreator,Feature,,,,
5,Vcreator - Liên kết tài khoản Threads,"Đưa tính năng liên kết tài khoản Threads lên Vcreator
","Hiện tại trên VCreator có thể gửi bài đăng threads nhưng chưa có mục liên kết threads trong trang ""liên kết tài khoản""","Notion

PRD",In progress,11/6,4,2,2,1,9,VCreator,Request,,,,
6,Tải và quản lý file tải (3 dự án),"Tối ưu luồng tải file (cho phép cancel, không cần restart và migarte để start lại luồng tải)",Trong tháng 5 có 3 lần liên tiếp phải request anh Thuận restart server + migrate database bằng lệnh để fix lỗi stuck. Mỗi lần vậy quy trình rất dài và thường mất vài ngày. Cần giải quyết vấn đề từ gốc,PRD,Not started,18/6,8,8,8,2,26,Ambassador,Feature,,,,
7,Gen-Green Affiliate,Build trang chương trình affiliate thay Green Seller và bỏ coming soon,Trang Green Seller đang để coming soon lâu quá. Đã request lên Gen-Green thay đổi menu Green Seller thành Green Affiliate để user khám phá campaign,"PRD

Notion",Not started,30/6,8,16,8,4,36,VCreator,Feature,Nhờ Hiếu điều chỉnh trang green affiliate 11/6,,,
8,Thêm tính năng add thưởng bằng file,"Clone tính năng Thưởng bonus từ Ambassador qua
Nhưng cần làm lại theo chuẩn mới: Có preview trước khi action
Sau đó clone ngược về lại Ambassador","Request từ operation, giảm workload tạo thưởng nhỏ lẻ",PRD,In progress,15/6,24,16,16,4,60,VCreator,Feature,Cần ưu tiên đẩy lên trong tuần 2,,,
9,T- Fluencer - Cập nhật dashboard lọc creator theo hashtag và cập nhật thông tin vị trí creator,Request từ Hà AT,"Request từ oepration, xuất phát từ feedback của ADV","Làm cùng với #8

",Not started,TBD,0,0,0,0,0,Tfluencer,Operation,,,,
10,Cho phép tạo lại link affiliate. Thêm Utm_source ,"
Hỗ trợ tạo lại link cho trường hợp link hết hạn, link bị lỗi. Thêm utm_source = gen-green vào api overview, conversation","Lọc đúng đơn hàng, hoa hồng theo đúng source Gen-Green thay vì lấy tất cả ",,Done,4/6,2,1,1,1,5,VCreator,Feature,,,,
11,[Vreator] User đã update email và ký lại HĐ nhưng không đồng bộ thông tin mới,"Rà soát source code để truy nguyên nhân gây lỗi email ký TOS lại không trùng khớp với email đã cập nhật trong profile: Hệ thống đang ưu tiên lấy theo email từ thông tin ekyc đã xác thực trước đó -> email trong hồ sơ người dùng -> giá trị đang giữ trong state 

",Fix lỗi không đồng bộ email ở bước xác nhận thông tin (bước 3) với bước nhập thông tin (bước 1) trong luồng eKYC ,,Done,4/6,0,6,2,1,9,VCreator,Bug,,Nghiệm thu,,"Hoạt động này tốn khá nhiều thời gian FE, truy tìm nguyên nhân xử lý các lỗi cũ dẫn đến bug hiện tại, cụ thể: 
1. Lỗi hiển thị popup xác nhận mst -> block step xác nhận ký hợp đồng 
2. Lỗi hđ đã huỷ nhưng cờ isCompleted = true -> Không thực hiện eKYC lại được 
3. Lỗi không validate field email 
"
12,[Ambassador] Lusso Video - Chênh lệch thông tin trong cùng 1 file đối soát,,"Trong cùng 1 kỳ đối soát nhưng tải file 2 thời điểm khác nhau lại cho ra kết qủa khác. Nguyên nhân chính do callback trễ, dẫn đến view ghi nhận bị lệch số",,In progress,11/6,2,0,1,1,4,VCreator,Bug,,,,
13,[Ambassador] User không update được địa chỉ - HĐ đã hủy bỏ,,User không sửa được địa chỉ ở bước xác nhận. Dẫn đến sai thông tin hợp đồng.,Notion,Done,4/6,0,1,0,1,2,Ambassador,Bug,,,,
14,[Tech] Chi tiết case data lệch Lusso,Thu thập nguyên nhân gây lệch view theo danh sách videp AT gửi,Thu thập nguyên nhân gây lệch view theo danh sách video AT gửi,"Notion
File",Done,4/6,2,0,0,1,3,Ambassador,Bug,,,,
19,[Tech] Đưa solution xử lý  case data lệch Lusso,Đưa solution xử lý lệch view đối soát,Đưa phương án xử lý để lần sau không gặp lại lỗi lệch view này nữa,PRD,Done,10/6,1,0,0,1,2,Ambassador,Request,,,,
20,Xử lý bug lệch view đối soát,,"Fix lỗi lệch view, ngăn chặn lỗi lặp lại ở tương lai",PRD,Not started,chưa xác định,8,1,4,1,14,Ambassador,Request,Cần AT duyệt solution,,,
20,[Lusso] User không update được địa chỉ - HĐ đã hủy bỏ,Clone fix lỗi không update địa chỉ hợp đồng sang các website đang chạy và vừa hết,Clone fix lỗi không update địa chỉ hợp đồng sang các website đang chạy và vừa hết,Notion,In progress,11/6,0,4,1,1,6,Ambassador,Request,,,,
21,[Ambasador] [Admin] Không pagging trang Duyêt Creator,,Fix lỗi không chuyển page được,Notion,Dev Testing,10/6,0,1,0,1,2,Ambassador,Bug,,,,
22,VPBANK- Update giao diện,Đổi giao diện VPbank,Đổi giao diện VPbank,"Tài liệu
Notion",In progress,12/6,0,2,1,1,4,Ambassador,Request,,,,
23,Fix bug tồn đọng Ambassador,Fix các bug cũ trên Ambassador,Fix các bug cũ trên Ambassador,File nghiệm thu,Not started,15/6,,6,2,1,9,Ambassador,Request,,,,
