STT,Mục,Module,Feature,Mô tả,Note,Deadline,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours)
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC C: DEPLOY & TÀI LIỆU,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
23,C,,Deployment MVP,"Deploy staging → production.","- Staging deploy
- Production deploy
- DNS/CDN config
- Basic monitoring",D+20,2,1,2,2,2,0,1,2,12
24,C,,API Documentation,"Swagger cho V-App auth + matching endpoints.","- OpenAPI spec
- Request/response examples
- Auth guide",D+18,0,1,2,0,0,0,2,1,6
25,C,,V-App Integration Guide,"Hướng dẫn V-App team load WebView + bridge protocol.","- WebView URL format
- Token spec
- Bridge protocol reference",D+18,0,1,1,1,0,0,2,1,6
26,C,,Design Handoff,"Tài liệu design: UI Kit, component specs, assets.","- Design file export (Figma)
- Component specs
- Icon & asset library
- Style guide",D+18,0,0,0,0,0,2,1,1,4
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC C TỔNG,,,,,,2,3,5,3,2,2,6,5,28,
,═══════════════════════════════════════,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,TỔNG CỘNG (Phase 1 MVP),,,,,,5,28,93,141,74,47,38,38,464,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
