STT,Gói,Objective,Feature,Use case,Source Code Verification,Deadline,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Total ($),Phase
17,3,Campaign,[Admin] Tạo chương trình tương tác,"Admin tạo campaign khuyến khích tương tác trên Own Channel. Cấu hình: thời gian, bài viết target, quy tắc thưởng.","CÓ 70% — EventRaw model đầy đủ (Partner, StartAt, EndAt, Reward, Budget). EventSchema có reward rates. → Thêm: event type 'interaction', target post config (URL list), Own Channel reference.",D+18,0,2,8,8,4,0,2,2,26,"$376",2

18,3,CBNV Participation,[CBNV] Đăng ký tham gia chương trình,"CBNV xem danh sách chương trình, đăng ký tham gia.","CÓ 85% — UserEvent model đã có user-event relationship. Event participation flow + API đã có. → Simplify: bỏ content submission, giữ registration.",D+18,0,0,2,6,2,0,0,0,10,"$140",2

19,3,Tích hợp Crawl,[System] Tích hợp Crawl Service — Campaign-scoped,"Tích hợp crawl service per campaign: target posts, nhận data tương tác, reuse matching engine từ Gói 1.","Reuse STT 5 matching engine + ContentCallback webhook. → Thêm: campaign-scoped crawl config, trigger crawl per target post, webhook nhận data per campaign. ĐỘ KHÓ CAO: campaign-scoped filtering phức tạp, dedup cross-campaign, scheduling trigger per post.",D+22,0,2,16,0,8,0,2,2,30,"$418",2

20,3,Validation,[System] Đánh giá tương tác hợp lệ,"Check comment hợp lệ, không spam, không trùng. Auto-approve hoặc flag.","MỚI logic, CÓ flow — Content moderation flow đã có (approve/reject + status tracking). → Tạo rule engine cho comment validation, reuse moderation status flow.",D+22,0,2,12,0,4,0,2,2,22,"$318",2

21,3,Reward,[System] Tính thưởng tự động,"Tương tác hợp lệ → tính điểm → cộng point balance.","CÓ 70% — EventBonus + EventReward + CashFlow engine đã có. Cron scheduling cho batch processing đã có. → Adjust: input từ interaction records, output points thay vì cash.",D+25,0,2,6,0,2,0,2,2,14,"$202",2

22,3,Dashboard,[CBNV] Kết quả tương tác,"CBNV xem tương tác đã verify, điểm, ranking.","CÓ 70% — Leaderboard + earnings page đã có. → Thay data source, thêm interaction detail view.",D+25,0,0,0,12,4,0,0,0,16,"$224",2

23,3,Admin,[Admin] Quản lý chương trình tương tác,"Admin xem tương tác, approve/reject, thống kê.","CÓ 70% — Content moderation admin + event analytics đã có. → Adjust view cho interaction data.",D+25,0,0,0,8,2,0,0,0,10,"$142",2

,Gói 3 TOTAL,,,,,,,0,8,44,34,26,0,8,8,128,"$1,816",

,,,,,,,,,,,,,,,,,,

,GÓI 4: ĐÁNH GIÁ 5 SAO ĐƯỢC TIỀN,,,,,,,,,,,,,,,,

24,4,Rating Flow,[CBNV] Luồng đánh giá App Store,"CBNV chọn app, redirect App Store, đánh giá 5 sao + hashtag.","MỚI flow. Reuse: campaign participation pattern (Event + UserEvent).",D+18,0,2,8,12,4,4,2,2,34,"$482",2

25,4,Proof Submission,[CBNV] Chụp bằng chứng,"CBNV upload screenshot đánh giá + hashtag.","CÓ 80% — Content submission + MinIO file upload đã có đầy đủ. → Thêm: proof-type content model (simpler than current Content).",D+20,0,0,6,6,4,0,0,2,18,"$252",2

26,4,Verification,[System] Verify đánh giá,"Manual admin review queue. Status: pending → approved/rejected.","CÓ 60% — Content moderation flow đã có (approve/reject + audit trail + status). → Tạo verify handler cho proof type, reuse moderation pattern. (OCR optional — phase 2).",D+22,0,2,12,0,4,0,2,2,22,"$318",2

27,4,Reward,[System] Thưởng điểm rating,"Verify OK → cộng điểm. Dedup per app per user.","CÓ 70% — EventReward + CashFlow engine. → Thêm dedup logic.",D+25,0,0,4,4,2,0,0,2,12,"$176",2

28,4,Admin,[Admin] Quản lý đánh giá,"Admin xem proof list, verify/reject, thống kê.","CÓ 75% — Content moderation admin panel đầy đủ. → Adjust view cho proof type.",D+25,0,0,2,6,2,0,0,0,10,"$142",2

,Gói 4 TOTAL,,,,,,,0,4,32,28,16,4,4,8,96,"$1,368",

,,,,,,,,,,,,,,,,,,

,GÓI 5: CHECK-IN ĐƯỢC TIỀN,,,,,,,,,,,,,,,,

29,5,Check-in Flow,[CBNV] Luồng check-in Google Maps,"CBNV chọn địa điểm, hướng dẫn check-in Google Maps + hashtag.","MỚI flow. Tương tự Gói 4 nhưng cho Google Maps. Reuse: Gói 4 proof-submission pattern.",D+18,0,2,6,10,4,4,2,2,30,"$426",2

30,5,Proof Submission,[CBNV] Chụp bằng chứng check-in,"Upload screenshot review Google Maps + hashtag.","Reuse 95% từ Gói 4 STT 23 — cùng proof submission module.",D+20,0,0,2,2,2,0,0,0,6,"$82",2

31,5,Verification,[System] Verify check-in,"Manual admin review. Status tracking.","Reuse 95% từ Gói 4 STT 24 verify engine.",D+22,0,0,2,0,2,0,0,0,4,"$52",2

32,5,Location Management,[Admin] Quản lý địa điểm check-in,"Admin CRUD danh sách địa điểm per company. Google Maps link.","MỚI — Location model + admin CRUD UI. Tham khảo: Partner CRUD pattern (đã có).",D+18,0,0,8,8,2,0,0,2,20,"$276",2

33,5,Reward + Admin,[System] Thưởng + Quản lý,"Thưởng điểm. Dedup per location per user. Admin dashboard.","Reuse 90% từ Gói 4 STT 25 + 26.",D+25,0,0,4,4,2,0,0,0,10,"$142",2

,Gói 5 TOTAL,,,,,,,0,2,22,24,12,4,2,4,70,"$990",

,,,,,,,,,,,,,,,,,,

,GRAND TOTAL (5 Gói),,,,,,,14,28,216,174,108,24,34,48,646,"$9,206",
,RATE ($/h),,,,,,,$17,$17,$15,$15,$11,$11,$11,$17,,,
,COST PER ROLE ($),,,,,,,"$238","$476","$3,240","$2,610","$1,188","$264","$374","$816",,"$9,206",
