field,description,PIC,required,example,value,Timline,Nội dung bài viết set up,Bài mẫu,Note
EVENT_ID,ID của campaign setup trên hệ thống ambassador( chú ý để cả môi trường dev và product),AT,optional,,"Dev: 6a20ea00d2b93e2838113c05
Product: 6a20ed4094a2d1dc271a6cc9",,,,
Thông tin liên hệ,,Parasola,required,,"Email: chinl@pvdistribution.com.vn 
giangldl@pvdistribution.com.vn",,,,
Link redirect từ CTA Về Đối tác,,Parasola,required,,https://naris.vn/,,,,
Facebook,,Parasola,required,,https://www.facebook.com/parasolavietnam,,,,
Materials/ kho tư liệu,,Parasola,required,,Guideline Parasola,,,,
CHI TIẾT CHIẾN DỊCH ,,Parasola,required,"Chiến dịch Biến tấu đơn giản với phở Cung Đình cho vị ngon khó cưỡng là một trong những chiến dịch thuộc chương trình Hội Nghiện Phở - chương trình trao thưởng của Phở Cung Đình dành cho các nhà sáng tạo nội dung nhằm cảm ơn và khuyến khích mọi người lan tỏa trải nghiệm khi chơi trải nghiệm, tin dùng và sáng tạo sản phẩm Phở Cung Đình.","Chào mừng các bạn tham gia chiến dịch: Parasola Sun Match | Match chuẩn nắng - Thưởng nóng trao tay, chiến dịch mùa hè dành cho các Content Creator/KOC yêu thích làm đẹp, chống nắng và sáng tạo nội dung lifestyle. Đồng hành cùng Parasola by Naris, Creator sẽ tham gia thử thách “Match chuẩn nắng” bằng cách lựa chọn sản phẩm phù hợp với phong cách cá nhân: Team Nâng Tông hoặc Team Tỏa Hương. Đây là sân chơi để Creator vừa thỏa sức sáng tạo, vừa bứt phá thu nhập cùng Parasola Sun Match – nơi mỗi lựa chọn đúng sản phẩm đều có thể trở thành một khoảnh khắc nổi bật dưới nắng.
",01/07 - 31/08,"Nội dung setup theo chiến dịch Parasola Sun Match: thông điệp, thể lệ, sản phẩm hợp lệ, guideline creator, kiểm soát fraud và report truyền thông.",,Đã đồng bộ theo cột Chiến dịch C trong file Thể lệ chiến dịch Parasola Sun Match.
Hashtag,,,,,"#ParasolaVietnam
#ParasolaSunMatch
#MatchChuanNang
#ThuongNongTraoTay",01/07 - 31/08,Sử dụng đúng hashtag chính thức của chiến dịch.,,Hashtag lấy từ file thể lệ đã điền trước đó.
TITLE_Top Parasola creator,,,,,Top Parasola Sun Match Creator,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,"Parasola Sun Match là chiến dịch creator/UGC cho Parasola by Naris, triển khai với thông điệp chính: MATCH CHUẨN NẮNG – THƯỞNG NÓNG TRAO TAY.

Thời gian triển khai: 01/07 - 30/08

Mục tiêu chiến dịch:
- Views: Min 25M views
- Video: Min 300-400
- SL Creators: Min 200
- Top of mind: Match chuẩn nắng - Nhớ Parasola
- Lan tỏa thông điệp: MATCH CHUẨN NẮNG – THƯỞNG NÓNG TRAO TAY
- Tạo UGC theo format chọn team: Team Nâng Tông / Team Tỏa Hương
- Thúc đẩy nhận diện sản phẩm Parasola trong mùa nắng & giai đoạn trade activation

Thể lệ/format tham gia:
Thể lệ Parasola Sun Match:

- Người tham gia/Creator lựa chọn team phù hợp với nhu cầu chống nắng: Team Nâng Tông hoặc Team Tỏa Hương.
- Sản xuất nội dung theo guideline, thể hiện rõ khoảnh khắc “match” sản phẩm Parasola với bối cảnh ra nắng hằng ngày.
- Nội dung cần lồng ghép thông điệp: “MATCH CHUẨN NẮNG – THƯỞNG NÓNG TRAO TAY”.
- Video/bài đăng gắn đầy đủ hashtag chiến dịch, tag kênh/brand theo yêu cầu của AT/Brand.
- Cơ cấu thưởng nóng/tiền thưởng và cách ghi nhận kết quả: AT & Brand xác nhận chi tiết trước khi triển khai.

Thông tin sản phẩm cần đẩy:
Thông tin cần đẩy trong chiến dịch:

Key message:
MATCH CHUẨN NẮNG – THƯỞNG NÓNG TRAO TAY

Concept nội dung:
Parasola Sun Match giúp người dùng chọn đúng “team” chống nắng theo nhu cầu cá nhân:
- Team Nâng Tông: phù hợp khi muốn da sáng, bắt nắng đẹp, tiện dùng trước khi ra ngoài/chụp ảnh.
- Team Tỏa Hương: phù hợp khi muốn chống nắng tiện lợi, thơm nhẹ, dùng hằng ngày/đi chơi/du lịch.

USP sản phẩm cần nhấn mạnh:
- Chống nắng chuẩn Nhật, bảo vệ da trước nắng mùa hè.
- Dạng xịt tiện lợi, đầu xịt nano 360 độ, dễ dùng lại trong ngày.
- Dòng nâng tông giúp da sáng, bắt sáng tự nhiên.
- Dòng tỏa hương tạo cảm giác thơm mát, dễ chịu khi sử dụng.

CTA:
Chọn team Parasola phù hợp và tham gia Sun Match để có cơ hội nhận thưởng nóng trao tay.

Guideline nội dung cho Creators:

1. Chọn team Parasola: Team Nâng Tông vs Team Tỏa Hương.
2. Review trải nghiệm sử dụng sản phẩm trong bối cảnh ra nắng thật.
3. Tình huống “match chuẩn nắng”: đi làm, đi học, đi chơi, du lịch, dạo phố.
4. Nội dung UGC/challenge kêu gọi người xem chọn team và tham gia Parasola Sun Match.
5. Chia sẻ thông điệp chiến dịch và cơ hội nhận thưởng nóng trao tay.
6. Có thể lồng ghép ưu đãi/hoạt động trade nếu Brand xác nhận.

Quyền lợi cho Creators:

- Được tặng sản phẩm/combo Parasola để trải nghiệm và sản xuất nội dung.
- Có cơ hội nhận thưởng nóng/tiền thưởng theo cơ cấu chiến dịch.
- Nội dung tốt có cơ hội được Brand repost/đẩy truyền thông.
- Chi tiết quà tặng, mức thưởng và điều kiện nhận thưởng: Brand & AT xác nhận sau.
Quy tắc duyệt Content:

- Creator gửi outline/script trước khi sản xuất nếu nội dung có claim sản phẩm hoặc thông tin khuyến mãi.
- Video/bài đăng phải đúng thông điệp, đúng sản phẩm, đúng hashtag và không dùng thông tin chưa được Brand xác nhận.
- Không so sánh tiêu cực với thương hiệu khác, không claim quá mức về hiệu quả sản phẩm.
- Nội dung final gửi Brand/AT duyệt trước khi publish.
- Chỉ tính nội dung đã duyệt, đăng công khai, đúng thời gian chiến dịch.

Kiểm soát fraud:
Quy trình kiểm soát frauds:

- AT tracking theo link/hashtag/mã Creator và danh sách video đã duyệt.
- Chỉ ghi nhận view/video hợp lệ: đăng công khai, đúng nội dung, đúng hashtag, không re-up, không spam.
- Loại trừ view bất thường, tài khoản ảo, nội dung sai guideline hoặc xóa/ẩn trước thời gian nghiệm thu.
- Đối soát định kỳ theo tuần và nghiệm thu cuối chiến dịch.

Content Calendar dự kiến:

- Giai đoạn 1 - Teasing/Kick-off: giới thiệu Parasola Sun Match và thông điệp chiến dịch.
- Giai đoạn 2 - Launch: đẩy nội dung chọn team Nâng Tông/Tỏa Hương, review sản phẩm, kêu gọi tham gia.
- Giai đoạn 3 - Peak: tăng UGC/challenge, nội dung thưởng nóng trao tay, recap các video nổi bật.
- Giai đoạn 4 - Wrap-up: tổng hợp kết quả, top content, top creators và câu chuyện chiến dịch.

Report truyền thông:

- Báo cáo tuần: số video, số Creators, views, engagement, top content, tình trạng duyệt nội dung.
- Báo cáo giữa kỳ: tiến độ KPI, nội dung hiệu quả, vấn đề cần tối ưu, đề xuất tăng tốc.
- Báo cáo cuối chiến dịch: tổng views, tổng video, số Creators, ER, top KOC/UGC, hashtag performance, fraud check và đề xuất cho chiến dịch tiếp theo.",,,,
