Cụm,Mô tả cụm,Module,Mô tả chi tiết,Trạng thái,BE (h),FE (h),QA (h),PM (h),BA (h),SA (h),DevOps (h),Tổng giờ,Tổng tiền (USD)
,,Admin UI: quỹ partner + rule onboarding,"- Màn hình quản lý quỹ thưởng partner (đã dùng / còn lại / cảnh báo)
- Form rule onboarding (N, tiền/video, bonus, minView)
- Báo cáo: creator nào đã nhận thưởng onboarding",🟡 Build mới,4,16,5,2,2,0,0,29,428
C,"Bảng xếp hạng tháng — xuyên campaign trong 1 partner (giả định A3).
Dữ liệu đã sẵn sàng: content-analytic-daily có partner + month + year + user. Không cần migration.
BXH cũ (WildRift) hardcode tên tenant, không tái dùng được → viết mới.",Aggregate BXH + tie-break,"- Aggregate từ content-analytic-daily (KHÔNG dùng user-partners: pipeline của nó thiếu 3 source)
- KHÔNG query collection users theo partner (UserRaw không có field partner — bug của code BXH cũ)
- Tie-break deterministic: đồng hạng → ưu tiên video cuối duyệt sớm hơn
- Điều kiện tối thiểu: >= 3 video duyệt, >= 10K view (chống 1-video-viral cướp top)
- Index mới cho sort leaderboard",🟡 Build mới,16,0,6,2,2,4,0,30,472
,,Snapshot bất biến + cron phát thưởng,"- Chốt sổ ngày 1 tháng sau 02:00, snapshot BXH vào doc bất biến TRƯỚC khi phát thưởng
- Chạy lại cron không đổi kết quả (creator khiếu nại thì có bằng chứng)
- Phát thưởng theo hạng, idempotent bằng periodKey
- Test: chạy cron 2 lần → không thưởng trùng",🟡 Build mới,16,0,8,2,2,3,0,31,476
,,Loại thưởng theo hạng (by-leaderboard-rank),"- Tiers theo hạng: Top1 / Top2 / Top3 / Top4-10 — số hạng và tiền đều config
- Metric xếp hạng chọn được: view / số video / engagement
- Fallback metric cho platform mù view",🟡 Build mới,12,0,6,1,2,2,0,23,348
,,API + UI bảng xếp hạng (creator + admin),"- App creator: BXH tháng hiện tại + tháng trước, vị trí của tôi, khoảng cách tới hạng trên
- Admin: xem BXH, xem snapshot đã chốt, xuất CSV
- Cache Redis (key BXH đã có sẵn)",🟡 Build mới,6,20,6,2,3,0,0,37,544
D,"Kênh X (Twitter). Threads ĐÃ CÓ SẴN — không tính tiền.
CHẶN NGOÀI: phụ thuộc Content Catcher V2 (service team khác) hỗ trợ source=x VÀ trả field view.
Cụm này KHÔNG nằm trên đường găng — cụm A–D ship được mà không cần X.",Thêm source X vào backend,"- Platform bị hardcode thành struct field + switch/case ở 26 file (~130 chỗ) — KHÔNG data-driven
- 14 điểm chạm: constants, UserEventStatistic, EventAnalyticDailyStatistic, GetCashTotal/GetPointTotal,
  switch tính milestone, aggregation statistic, response admin/public
- Việc cơ học nhưng dễ sót — 1 chỗ sót = creator mất tiền
- Test: đăng bài X → ghi nhận view/like/comment → tính thưởng đúng",🟡 Build mới,20,0,8,2,2,3,0,35,540
,,Cron crawl X + xử lý callback,"- Copy pattern Threads: CrawlDataContentX + processXCrawl + đăng ký cron
- Xử lý callback async (request_id → contents-callback)
- Validator URL x.com / twitter.com",🟡 Build mới,10,0,5,1,0,2,2,20,314
,,Tích hợp + xác minh Content Catcher V2,"- PHỤ THUỘC TEAM NGOÀI: xác nhận source=x được hỗ trợ VÀ response có field view
- BẪY: Threads crawl được nhưng KHÔNG trả view (dùng Apify profile-scraper) → PPV Threads = 0đ
- Phải xin sample JSON trước khi code, không tin lời hứa suông
- Nếu X không có view → chỉ tính thưởng được theo like/comment",⚠️ Chặn ngoài,8,0,4,3,1,2,0,18,288
,,FE: hiển thị kênh X,"- Submit content chọn nguồn X
- Hiển thị thống kê X trong dashboard creator + admin",🟡 Build mới,0,10,3,1,1,0,0,15,218
E,"Migration, triển khai, tài liệu, vận hành.",Migration + rollback,"- Backfill periodKey, dò/gộp reward trùng, tạo index mới
- Script rollback cho từng bước
- Chạy thử trên bản sao dữ liệu prod trước",🟡 Build mới,8,0,4,1,0,2,4,19,304
,,Deploy staging + production,"- Deploy theo từng phase (A → B → C → D), không big-bang
- Theo dõi cảnh báo ngân sách Telegram sau mỗi phase",🟡 Build mới,2,0,3,2,0,0,6,13,210
,,Tài liệu,"- Admin guide tiếng Việt: cách cấu hình từng loại thưởng
- Tài liệu vận hành: chốt sổ tháng, xử lý khiếu nại BXH
- Cập nhật API docs + data model",🟡 Build mới,3,0,0,3,12,2,0,20,292
,,UAT + hỗ trợ vận hành 2 tuần đầu,"- UAT với 1 partner thật trước khi bật cho 14 tenant
- Đối chiếu tiền thưởng thủ công tháng đầu tiên
- Trực xử lý khiếu nại creator",🟡 Build mới,6,0,10,6,4,0,0,26,384

,,TỔNG (chưa buffer),,,241,74,136,46,55,50,14,616,9416
,,Buffer 15%,Rủi ro: engine coupling cao (thêm 1 loại thưởng = chạm 14 file); đụng đường tiền đang chạy cho 14 tenant,,36,11,20,7,8,8,2,92,1411
,,TỔNG CỘNG,,,277,85,156,53,63,58,16,708,10827

⚠️ ĐIỀU KIỆN TIÊN QUYẾT — KHÔNG TÍNH TIỀN TRONG BÁO GIÁ NÀY (tách thành task fix P0 riêng),,,,,,,,,,,,,
,,P0-1: Milestone hết ngân sách chặn thưởng vĩnh viễn,"Reward cash=0 vẫn bị đếm là 'đã nhận' → creator KHÔNG BAO GIỜ được cấp lại, kể cả sau khi nạp thêm ngân sách. Không sửa → thưởng onboarding (cụm B) và BXH (cụm C) đều dính.","🔴 Chặn cụm B, C",,,,,,,,,
,,P0-2: Cron 00:30 bypass kiểm tra ngân sách,"RecheckMilestoneByEvent insert reward full cash, không lock, không estimate. Không sửa → mọi cơ chế thưởng mới đều có thể vượt chi.","🔴 Chặn cụm A, B, C",,,,,,,,,
,,P1: Mốc hiệu suất sai điều kiện,Engine dùng > thay >= → creator đạt ĐÚNG 100.000 view không được thưởng. Đếm view chỉ tính bucket .Completed → creator phải chờ hết chu kỳ đối soát mới thấy tiền. Không sửa → tính năng 'mốc hiệu suất' GIAO RA VẪN SAI.,🔴 Chặn cụm A,,,,,,,,,
,,P1: content-analytic-daily thiếu index {date},"COLLSCAN toàn collection mỗi đêm. Chưa chặn tính năng, nhưng cron chốt sổ tháng (cụm A) sẽ càng chậm.",🟠 Nên sửa kèm,,,,,,,,,

ĐƠN GIÁ,,,,,$16/h,$15/h,$12/h,$20/h,$12/h,$20/h,$17/h,,
