Module,Feature Code,Feature Name,Source Status,Vietnam Current State,Philippines Action,Effort,Priority,Owner,Status,Blockers,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Notes
Reconciliation,RECON-05,Classification filter,Partial,Có AccountType filter trong admin - không có classification service,Giữ nguyên,S,P1,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Reconciliation,RECON-06,Fractional reward by statistic,Missing,KHÔNG có (EventReward chỉ flat),Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,User confirm chưa có
Payment & Payout,PAY-01,Bank account binding,Existed,CreateUserBankCard + UpdateUserBankCard + model UserBankCardRaw,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,§E1 + §I9 - khách tự payout qua payroll
Payment & Payout,PAY-02,E-wallet binding,Missing,KHÔNG có ở vCreator,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Payment & Payout,PAY-03,Withdraw request,Existed,pkg/public/handler/withdraw.go: Create + model WithdrawRaw,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Payment & Payout,PAY-04,QR payment (VietQR/napas247),Missing,KHÔNG có integration ở source,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Payment & Payout,PAY-05,Bank reconciliation auto match (Sepay),Missing,KHÔNG có Sepay webhook,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Payment & Payout,PAY-06,Cash flow log,Existed,internal/service/cashflow.go + model CashFlowRaw,Giữ logic - tracking commission earned,S,P0,DISO,Ready,,0,0,2,2,1,0,0,0,5,§E5 PHP centavos integer
Payment & Payout,PAY-07,Payout schedule,Partial,Transfer model có - không có schedule logic,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Payment & Payout,PAY-08,Commission report export (cho khách payroll),Partial,Reconciliation model + export handler có,Repurpose: export CSV/Excel cho khách import payroll,M,P0,Partner,Blocked,§E6 format export,0,1,8,2,2,0,1,1,15,Mới - thay thế bank reconciliation
Tax (BIR),TAX-01,Auto withhold tax,Existed,Logic clear: CashFlowActionTax + TotalCashTax + tax calculation flow,BỎ KHỎI SCOPE - khách tự payout qua payroll,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,§D1 toàn bộ Tax bỏ
Tax (BIR),TAX-02,Tax refund flow,Existed,Logic clear: CashFlowActionTaxRefund + TotalCashRefundTax,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Tax (BIR),TAX-03,Tax page (frontend),Existed,Frontend pages/account/tax/,BỎ KHỎI SCOPE - hide page,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Tax (BIR),TAX-04,Cấp Form 2307 PDF,Missing,KHÔNG có ở vCreator,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Tax (BIR),TAX-05,BIR Form 1601-EQ + 1604-E export,Missing,KHÔNG có,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Tax (BIR),TAX-06,Tax regime selection,Missing,KHÔNG có,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Tax (BIR),TAX-07,VAT registration flag,Missing,KHÔNG có,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Contract,CONTRACT-01,Hợp đồng điện tử HTML template,Existed,internal/constants/contract.go: ContractTemplate (786 dòng tiếng Việt + luật VN),Rewrite EN/Bilingual + luật PH (RA 8792 + DPA 2012),L,P0,Partner,Blocked,Legal team cung cấp,0,2,16,8,4,2,4,2,38,§C1 entity + §C5 jurisdiction
Contract,CONTRACT-02,Click-to-sign + OTP,Existed,UpsertContractInfo + CreateEcontract + OTPPurposeSignContractOnline,Giữ logic + audit trail mạnh,S,P0,DISO,Ready,,0,1,4,2,2,0,0,1,10,§I4 RA 8792 § 8 OK
Contract,CONTRACT-03,Upload contract PDF lên Google Drive,Existed,Sau khi creator ký xong - upload PDF hợp đồng lên Google Drive folder,Giữ logic + folder mới cho PH,S,P0,DISO,Ready,,1,0,2,0,1,0,0,0,4,
Contract,CONTRACT-04,Contract revocation,Missing,KHÔNG có revocation endpoint/logic,Skip - không trong source,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Contract,CONTRACT-05,TOS / Privacy Policy display,Partial,News/article system generic - không có route TOS/PP riêng,Rewrite theo DPA 2012 + thêm route hoặc dùng news,M,P0,Partner,Blocked,Legal team cung cấp text,0,1,4,4,2,0,2,1,14,
Contract,CONTRACT-06,DPA 2012 consent flow,Missing,KHÔNG có ở vCreator,Build mới,M,P0,Partner,Blocked,§C3 DPO + §C4 NPC,0,0,0,0,0,0,0,0,0,
Notification,NOTIF-01,Email transactional,Existed,Module internal/module/smtp/,EN + Filipino templates,S,P0,DISO,Ready,,0,0,4,2,1,2,0,1,10,§A1
Notification,NOTIF-02,SMS OTP,Existed,AccessTrade SMS với channel Zalo,SMS PH provider,M,P0,Partner,Blocked,§G1 provider,1,1,8,2,2,0,1,1,16,
Notification,NOTIF-03,Push notification (Firebase),Existed,internal/service/notification.go: firebase.SendToListDevices(),Giữ nguyên,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Notification,NOTIF-04,Telegram admin alert,Missing,Module có nhưng KHÔNG wire route → coi như không có,Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,User chốt: không có = không làm
Notification,NOTIF-05,In-app notification,Existed,pkg/public/handler/notification.go + model NotificationRaw,Giữ logic + đổi text EN/Filipino,S,P0,DISO,Ready,,0,0,1,2,1,0,0,0,4,
Admin Backoffice,ADMIN-01,Dashboard analytics v2 (13 widgets),Out-of-scope,Dashboard mới chưa có ở version này (đang dev riêng),Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,User chốt: không bao gồm version PH
Admin Backoffice,ADMIN-02,Creator management,Existed,pkg/admin/handler/user.go user list/search; CCCD via EmployeeCode,Giữ logic + đổi search field theo PhilID,S,P0,DISO,Partial,§F2 search field,0,0,2,2,1,0,0,0,5,
Admin Backoffice,ADMIN-03,Filter CBNV/Cơ sở,Existed,"Workplace model: WorkplaceBrandCode, WorkplaceCompanyCode, WorkplaceUnitCode",Giữ logic + init cơ sở GreenSM PH,S,P0,Partner,Blocked,§I2,0,0,2,1,1,0,0,0,4,
Admin Backoffice,ADMIN-04,Content review (admin reject),Existed,pkg/admin/handler/content.go review/reject,Giữ nguyên,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Admin Backoffice,ADMIN-05,Export chọn cột,Existed,pkg/admin/handler/export.go: Export() field selection,Giữ nguyên,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Admin Backoffice,ADMIN-06,Hashtag cá nhân,Existed,User model: Hashtag field,Giữ nguyên,S,P1,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Admin Backoffice,ADMIN-07,Tax report,Partial,Frontend pages/account/tax/ + backend tax fields,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Admin Backoffice,ADMIN-08,Bank reconciliation export,Partial,Reconciliation model + export handler,Repurpose → Commission report export (PAY-08),-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Admin Backoffice,ADMIN-09,Quick action buttons,Existed,pkg/admin/handler/quick_action.go + model QuickActionRaw,Giữ nguyên,S,P1,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Admin Backoffice,ADMIN-10,Audit log,Existed,pkg/admin/handler/audit.go + model AuditRaw,Giữ nguyên,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Admin Backoffice,ADMIN-11,Region filter (multi-tenant),Missing,KHÔNG có multi-region,N/A (fork riêng),-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Referral,REF-01,Referral system (mã giới thiệu),Existed,User model: ReferralInfo + handler Referral(),Giữ nguyên,S,P1,DISO,Ready,,0,0,2,2,1,0,0,0,5,
Referral,REF-02,Reward referral,Existed,Model ReferralInfo trong source - giữ nguyên logic hiện tại,Giữ nguyên,S,P1,DISO,Ready,,0,0,2,1,1,0,0,0,4,
Affiliate (BỎ),AFF-01,Scalef integration,Missing,KHÔNG có ở vCreator codebase,BỎ HẲN,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,§I5
Affiliate (BỎ),AFF-02,Affiliate sales tracking,Missing,KHÔNG có,BỎ HẲN,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Branding (Cleanup),BRAND-01,VinFast Creator legacy cleanup,Existed,Còn sót: README VINFAST CREATOR + email templates + Gen-G.png Green-Creator.png,Audit & xóa toàn bộ,S,P0,DISO,Ready,,0,0,2,2,1,0,0,0,5,§I6
Branding (Cleanup),BRAND-02,Logo,Existed,Logo Gen-Green VN,Asset GreenSM PH,S,P0,DISO,Ready,,0,0,0,2,1,1,0,0,4,§B2
Branding (Cleanup),BRAND-03,Color palette,Existed,VN palette,Theo Brand Guideline GreenSM PH,S,P1,DISO,Ready,,0,0,0,2,1,2,0,0,5,§B2
Branding (Cleanup),BRAND-04,Email signature footer,Existed,Tiếng Việt + Interspace VN,EN + GreenSM PH (Pasay),S,P0,DISO,Ready,,0,0,1,1,1,1,0,0,4,§K3
Branding (Cleanup),BRAND-05,Banner home + Campaign banner,Existed,Banner config có,Banner 3:4 + 20:8 + 9:16,S,P0,Partner,Blocked,§B13 file thiết kế,0,0,0,2,1,4,0,0,7,
Branding (Cleanup),BRAND-06,OG title + description,Existed,SEO meta config,Dịch từ trang Indo Gen-Green,S,P0,Partner,Blocked,§L1 + §L2,0,0,1,1,0,0,1,0,3,
Branding (Cleanup),BRAND-07,GTM tracking,Existed,Setup script có,GTM-WTMZXPHC,S,P0,DISO,Ready,,0,0,0,1,1,0,0,0,2,§B7
Branding (Cleanup),BRAND-08,Hashtag campaign default,Existed,Tùy event,#GreenSM,S,P0,DISO,Ready,,0,0,1,0,0,0,0,0,1,§B8
Branding (Cleanup),BRAND-09,CTA Về Đối tác link,Existed,vinfast.vn,https://www.greengsm.ph/,S,P0,DISO,Ready,,0,0,0,1,0,0,0,0,1,§B9
Branding (Cleanup),BRAND-10,Favicon,Existed,Favicon VN,Favicon GreenSM PH,S,P0,DISO,Ready,,0,0,0,1,0,1,0,0,2,§L5
Branding (Cleanup),BRAND-11,Font,Existed,Default font,Theo Brand Guideline,S,P0,DISO,Ready,,0,0,0,1,0,1,0,0,2,§B6
Infra,INFRA-01,Repo setup,N/A,vcreator,Tạo repo mới,S,P0,Partner,Blocked,§H1 + §H2,2,1,1,1,0,0,0,1,6,
Infra,INFRA-02,AWS account/cluster,N/A,Cùng AT VN account,IP 54.169.3.115 + cluster mới,M,P0,Partner,Partial,§H3 confirm AWS,8,2,2,0,1,0,0,1,14,IP đã có
Infra,INFRA-03,MongoDB,N/A,Atlas/self-hosted VN,Cluster mới + data fresh,M,P0,Partner,Blocked,§H4,4,1,2,0,1,0,0,1,9,
Infra,INFRA-04,Redis,N/A,Redis VN,Instance mới,S,P0,DISO,Ready,,2,0,1,0,1,0,0,0,4,
Infra,INFRA-05,MinIO storage,N/A,4 buckets VN,4 buckets mới,S,P0,DISO,Ready,,2,0,1,0,1,0,0,0,4,
Infra,INFRA-06,Domain & DNS,N/A,vcreator.global,gen-green.ph (Cloudflare),S,P0,DISO,Ready,,2,0,0,0,0,0,0,1,3,§B4 + §H5
Infra,INFRA-07,SSL/HTTPS,N/A,Có,Giữ nguyên,S,P0,DISO,Ready,,1,0,0,0,0,0,0,0,1,
Infra,INFRA-08,Email service (SMTP),Existed,AWS SES VN region,SES Singapore (gen-green.ph),S,P0,DISO,Ready,,2,0,1,0,0,0,0,0,3,
Infra,INFRA-09,CDN,N/A,TBD,Cloudflare hoặc CloudFront,S,P1,Partner,Pending,Confirm provider,2,0,0,0,0,0,0,0,2,
Compliance,COMP-01,DPA 2012 consent flow,Missing,KHÔNG có ở vCreator,BẮT BUỘC build mới: registration + login consent,M,P0,Partner,Blocked,Legal text,0,0,0,0,0,0,0,0,0,
Compliance,COMP-02,DPO appointment,N/A,N/A,BẮT BUỘC trước launch (partner-side),-,-,Partner,Blocked,§C3,0,0,0,0,0,0,0,0,0,Partner-side action
Compliance,COMP-03,NPC registration,N/A,N/A,BẮT BUỘC trước launch (partner-side),-,-,Partner,Blocked,§C4,0,0,0,0,0,0,0,0,0,Partner-side action
Compliance,COMP-04,BIR registration,N/A,N/A,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Compliance,COMP-05,Right to access/erasure (DPA),Missing,KHÔNG có ở vCreator,Build mới: data export + delete account,M,P1,DISO,Ready,,0,0,0,0,0,0,0,0,0,
i18n,I18N-01,Frontend creator i18n,Partial,vi-VN.ts 86 dòng + tiếng Việt hard-code khắp components,Replace + add EN + Filipino,L,P0,DISO,Partial,§I18N-07 Filipino,0,2,8,40,8,0,2,4,64,EN start; Filipino chờ
i18n,I18N-02,Frontend admin i18n,Partial,vi-VN.ts 405 dòng + tiếng Việt hard-code,Replace → EN,L,P0,DISO,Ready,,0,1,4,32,6,0,1,2,46,Admin chỉ EN
i18n,I18N-03,Backend error messages i18n,Partial,Tiếng Việt hard-code service/social/...,Replace → EN + Filipino,M,P0,DISO,Partial,Filipino,0,1,16,0,4,0,1,2,24,
i18n,I18N-04,Email templates i18n,Existed,Tiếng Việt hard-code,EN + Filipino templates,S,P0,DISO,Partial,Filipino,0,0,4,2,1,0,0,1,8,
i18n,I18N-05,Date/Time format,Existed,dd/MM/yyyy,MM/dd/yyyy (PH convention),S,P0,DISO,Ready,,0,0,2,2,1,0,0,0,5,
i18n,I18N-06,Number/Currency format,Existed,1.000.000đ,"1,000,000 ₱ (comma + 2 decimals)",S,P0,DISO,Ready,,0,0,2,2,1,0,0,0,5,
i18n,I18N-07,Filipino translation content,Missing,N/A,BẮT BUỘC: native translator hoặc partner cung cấp text,L,P0,Partner,Blocked,Translator,0,0,0,0,0,0,0,0,0,§A1 đã chốt EN + Filipino
i18n,I18N-08,Language toggle UI,Missing,Không có toggle,Build mới do support 2 languages,S,P0,DISO,Ready,,0,0,0,0,0,0,0,0,0,§A3
Phone Format,PHONE-01,Phone regex validation,Existed,^(0|\+84|84)(\d{9}|\d{10})$ (constants/constants.go),^(09|\+639|639)\d{9}$,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Phone Format,PHONE-02,Phone format util,Existed,format.ToPhoneVN() (+84 strip),Generic theo region,S,P0,DISO,Ready,,0,0,2,0,1,0,0,0,3,
Phone Format,PHONE-03,SMS country code config,Existed,+84,+63,S,P0,DISO,Ready,,0,0,1,0,0,0,0,0,1,
Contact Info,CONTACT-01,Hotline hỗ trợ creator,Existed,Hotline VN config,02-7777-8080,S,P0,DISO,Ready,,0,0,0,1,0,0,0,0,1,§K1
Contact Info,CONTACT-02,Email hỗ trợ creator,Existed,support@vcreator.global,support.ph@greensm.com,S,P0,DISO,Ready,,0,0,1,1,0,0,0,0,2,§K2
Contact Info,CONTACT-03,Địa chỉ công ty,Existed,Hà Nội,6TH FLOOR TWO E-COM CENTER PASAY CITY 1300,S,P0,DISO,Ready,,0,0,0,1,0,0,0,0,1,§K3
Contact Info,CONTACT-04,Facebook page link,Existed,FB VN,facebook.com/greengsm.ph,S,P0,DISO,Ready,,0,0,0,1,0,0,0,0,1,§B10
Contact Info,CONTACT-05,Materials/Media kit,Existed,Google Drive VN,Google Drive PH (folder GreenSM),S,P0,DISO,Ready,,0,0,0,1,0,0,0,0,1,§B11
CMS Content,CMS-01,Support article,Existed,vCreator CMS articles,Cần ID article cho dev + prod,S,P0,Partner,Blocked,§I11,0,0,1,1,0,0,1,0,3,
CMS Content,CMS-02,Q&A article,Existed,vCreator CMS articles,Cần ID article cho dev + prod,S,P0,Partner,Blocked,§I11,0,0,1,1,0,0,1,0,3,
CMS Content,CMS-03,Term article,Existed,vCreator CMS articles,Cần ID article cho dev + prod,S,P0,Partner,Blocked,§I11,0,0,1,1,0,0,1,0,3,
CMS Content,CMS-04,Condition article,Existed,vCreator CMS articles,Cần ID article cho dev + prod,S,P0,Partner,Blocked,§I11,0,0,1,1,0,0,1,0,3,
CMS Content,CMS-05,Partner ID,Existed,vCreator partner config,gengreen,S,P0,DISO,Ready,,0,0,1,0,0,0,0,0,1,§B5
CMS Content,CMS-06,Event ID,Existed,vCreator event config,Cần ID event cho dev + prod,S,P0,Partner,Blocked,§I12,0,0,1,1,0,0,1,0,3,
,,,,TOTAL,,,,,,,29,21,188,194,92,16,27,34,601,Total ~75 person-days @ 8h/day
