Mã,Tên,Loại,Làn,Sprint,Điểm,Trạng thái,Vai trò,Bất biến,Phụ thuộc,Tiêu chí chấp nhận,Rủi ro,Ngày bắt đầu,Ngày kết thúc
CT-07,Văn bản một trang về thao tác đổi trạng thái tay,Task,Vận hành,Sprint 0,2,Chưa bắt đầu,PM,,,Nêu rõ khi nào được bấm đổi trạng thái tay; khi nào cấm; ai duyệt,Thấp,2026-09-28,2026-09-30
CT-08,Kịch bản trả lời khách ca tiền chưa về,Task,Vận hành,Sprint 0,2,Chưa bắt đầu,Vận hành,,,Có kịch bản trả lời khách cho ca tiền chưa về; vận hành dùng được ngay,Thấp,2026-09-28,2026-09-30
CT-09,Chốt bộ số nền để báo cáo,Task,Vận hành,Sprint 0,3,Chưa bắt đầu,Dữ liệu,,,"Báo cáo 1 trang: tiền đang treo chưa rõ kết quả; quy mô một đợt; tổng chi mỗi ngày; số khách đang chờ và chờ bao lâu",Trung bình,2026-09-28,2026-10-02
A1-S1,Mô hình dữ liệu tách bạch 4 thực thể,Story,Kỹ thuật,Sprint A1,8,Chưa bắt đầu,BE,BB-2,SP-2,"Có bảng cho Nghĩa vụ Khoản chi Lần gửi Đợt; khoá ngoại đúng chiều; migration chạy được và lùi được; txn_id nằm ở Khoản chi không nằm ở Lần gửi hay Đợt",Trung bình,2026-10-05,2026-10-16
A1-S2,Sinh mã khoản chi bất biến có tiền tố sản phẩm,Story,Kỹ thuật,Sprint A1,5,Chưa bắt đầu,BE,BB-2 BB-10,SP-4 A1-S1,Mã đúng định dạng đã chốt; mã không đổi khi gửi lại; mã không đổi khi dời đợt; test sinh 10000 mã không trùng,Trung bình,2026-10-05,2026-10-16
A1-S3,Chặn một nghĩa vụ có hai khoản chi đang hoạt động,Story,Kỹ thuật,Sprint A1,5,Chưa bắt đầu,BE,BB-1,A1-S1,Ràng buộc ở cả DB và tầng service; chạy đồng thời 50 request tạo khoản cho cùng nghĩa vụ thì đúng 1 thành công 49 bị từ chối kèm lý do đọc được,Cao,2026-10-05,2026-10-16
A1-S4,Sổ lần gửi ghi mỗi lượt gửi và kết quả nhận được,Story,Kỹ thuật,Sprint A1,5,Chưa bắt đầu,BE,,A1-S1,Mỗi lượt gửi sinh 1 bản ghi gồm thời điểm payload gửi phản hồi nhận mã lỗi; truy được lịch sử đầy đủ theo mã khoản chi,Trung bình,2026-10-05,2026-10-16
A1-S5,Gặp 400 txn_id trùng thì tra kết quả giao dịch gốc,Story,Kỹ thuật,Sprint A1,8,Chưa bắt đầu,BE,BB-3 BB-5,SP-3 A1-S4,"Gặp 400 thì bắt buộc gọi txn-inquiry; cấm đường đi từ 400 sang hoàn tiền; có ca kiểm thử cho cả 3 kết quả inquiry; ghi audit mỗi lần inquiry",Cao,2026-10-05,2026-10-16
A1-S6,Backfill dữ liệu khoản chi đang tồn tại sang mô hình mới,Story,Kỹ thuật,Sprint A1,8,Chưa bắt đầu,BE,,SP-2 A1-S1,"Script chạy được trên bản sao production; đối chiếu tổng số khoản và tổng số tiền trước sau lệch bằng 0; khoản không đủ dữ liệu được đánh dấu riêng xử lý tay không đoán",Cao,2026-10-05,2026-10-16
A2-S1,Đợt chi trả là hồ sơ có danh tính,Story,Kỹ thuật,Sprint A2,8,Chưa bắt đầu,BE,BB-9,A1-S1,"Đợt có mã loại phạm vi người tạo thời điểm trạng thái vòng đời; truy được đợt N gồm những khoản nào; bổ sung trường kênh AT_CORE hoặc CHI_TAY",Trung bình,2026-10-19,2026-10-30
A2-S2,Phân biệt đợt tự động với đợt bù tay trong dữ liệu,Story,Kỹ thuật,Sprint A2,3,Chưa bắt đầu,BE,,A2-S1,Trường loại có 3 giá trị tự động bù tay theo danh sách; phân biệt được bằng truy vấn không chỉ khác thời điểm tạo; báo cáo tách được theo loại,Thấp,2026-10-19,2026-10-30
A2-S3,Dời khoản chi sang đợt khác không đổi danh tính,Story,Kỹ thuật,Sprint A2,5,Chưa bắt đầu,BE,BB-4,A2-S1,Dời đợt thì mã khoản chi và txn_id không đổi; lịch sử lần gửi giữ nguyên; ghi audit ai dời lúc nào từ đợt nào sang đợt nào,Trung bình,2026-10-19,2026-10-30
A2-S4,Tách thao tác tạo khoản mới và gửi lại khoản đã có,Story,Kỹ thuật,Sprint A2,5,Chưa bắt đầu,BE,BB-2,A1-S2,Hai luồng riêng quyền riêng; không còn đường nào vừa tạo vừa gửi lại; gửi lại không sinh mã mới,Cao,2026-10-19,2026-10-30
A2-S5,Trạng thái chỉ đi tới và cập nhật có điều kiện,Story,Kỹ thuật,Sprint A2,5,Chưa bắt đầu,BE,BB-6,A1-S4,Mọi lệnh cập nhật mang điều kiện trạng thái hiện tại; ghi đè ngược bị từ chối; có ca kiểm thử cho tình huống callback về giữa lúc đang xử lý,Cao,2026-10-19,2026-10-30
A2-S6,Truy vấn hồ sơ một khoản chi,Story,Kỹ thuật,Sprint A2,3,Chưa bắt đầu,BE,,A1-S4 A2-S1,Một truy vấn trả đủ đợt số lần gửi kết quả từng lần trạng thái hiện tại; phản hồi dưới 2 giây với dữ liệu thật,Thấp,2026-10-19,2026-10-30
A2-S7,Bộ test bất biến chạy tự động trong CI,Story,Kỹ thuật,Sprint A2,8,Chưa bắt đầu,QC,BB-1 BB-2 BB-4 BB-6 BB-10,A1-S3 A2-S3 A2-S5,Test tự động cho BB-1 BB-2 BB-4 BB-6 BB-10; chạy trong CI; đỏ là chặn merge,Cao,2026-10-19,2026-10-30
